vus	planned_app_requests	app_requests	app_errors	auth_errors	completed_flows	failed_flows	app_p95_ms	auth_p95_ms	rps	k6_exit	verdict
300	30000	30000	0	0	300	0	2.35691445	9.360598	217.02114060828632	0	PASS
400	40000	40000	0	0	400	0	2.4103173499999997	8.137533	288.9814436407895	0	PASS
500	50000	50000	0	0	500	0	2.6100826499999994	9.698294	360.890606149424	0	PASS
600	60000	60000	0	0	600	0	2.8279641	17.497495	432.80743127120263	0	PASS
700	70000	70000	0	0	700	0	3.3398292500000033	11.935744	504.79363875191655	0	PASS
1400	140000	140000	0	0	1400	0	8.004752249999981	16.721954	1007.358545946629	0	PASS
2800	280000	269500	14951	105	2695	2796	3144.1810271	3454.142523	1782.849324207822	99	FAIL
2100	210000	210000	0	0	2100	0	17.23004264999997	32.883465	1506.269028964843	0	PASS
2450	245000	245000	0	0	2450	0	73.84708654999993	144.611693	1763.9520231892309	0	PASS
2625	262500	262500	0	0	2625	0	186.3992218499998	399.99706375	1885.8002760456768	0	PASS
2700	270000	270000	0	0	2700	0	171.04014019999988	277.18079	1936.2873689673265	0	PASS
2750	275000	275000	0	0	2750	0	170.89000109999975	242.7223685	1973.1373628576305	0	PASS
2775	277500	277500	0	0	2775	0	246.3106303499999	635.07780075	1988.6209606016744	0	PASS
