vus	planned_app_requests	app_requests	app_errors	auth_errors	completed_flows	failed_flows	app_p95_ms	auth_p95_ms	rps	k6_exit	verdict
300	30000	30000	0	0	300	0	2.987210299999999	26.764942	216.7077319705529	0	PASS
600	60000	60000	0	0	600	0	2.656968599999998	12.539922	432.9161208847483	0	PASS
1200	120000	120000	0	0	1200	0	5.400618349999998	18.267968	864.0207410128144	0	PASS
2400	240000	147100	3052	929	1471	2333	2375.5050296999952	9060.806654	1061.7593350747252	99	FAIL
1800	180000	180000	0	0	1800	0	10.819445299999995	37.135367	1293.4653245818085	0	PASS
2100	210000	210000	0	0	2100	0	20.75156829999999	73.563435	1508.8938895670826	0	PASS
2250	225000	225000	0	0	2250	0	28.265011599999927	35.1913175	1621.8406239556145	0	PASS
2325	232500	232500	0	0	2325	0	53.19755144999999	126.44182175	1673.9244408507261	0	PASS
2350	235000	235000	0	0	2350	0	59.895977899999984	165.28108450000002	1684.2283645206546	0	PASS
2375	237500	237500	0	0	2375	0	50.013181199999984	213.823597	1706.6253237414962	0	PASS
